bolge_id,bolge_adi,sehir,ulke,tr_vize,us_vize,fiyat_seviye,en_iyi_mevsim,l1_deniz,l1_doga,l1_tarih,l1_eglence,l1_sakin,l1_sehir_hayati,l1_macera,l1_luks,l2_kultur,l2_su_spor,l2_hava_spor,l2_doga_spor,l2_yemek,l2_fotografik,kis_spor
6,Balkanlar,Beograd,Sirbistan,vizesiz,vizesiz,dusuk,dort_mevsim,0.080,0.080,0.433,0.080,0.309,0.624,0.080,0.170,0.433,0.080,0.080,0.080,0.080,0.080,0.080
6,Balkanlar,Uskup,Kuzey Makedonya,vizesiz,vizesiz,dusuk,dort_mevsim,0.080,0.080,0.469,0.080,0.309,0.435,0.080,0.170,0.433,0.080,0.080,0.080,0.080,0.080,0.080
7,Kafkasya ve Ipek Yolu,Baku,Azerbaycan,vizesiz,vizesiz,dusuk,dort_mevsim,0.080,0.080,0.464,0.080,0.080,0.249,0.080,0.161,0.477,0.080,0.080,0.080,0.340,0.080,0.080
7,Kafkasya ve Ipek Yolu,Tiflis,Gurcistan,vizesiz,vizesiz,dusuk,dort_mevsim,0.080,0.080,0.464,0.080,0.080,0.249,0.080,0.161,0.477,0.080,0.080,0.080,0.340,0.080,0.080
7,Kafkasya ve Ipek Yolu,Semerkant,Ozbekistan,vizesiz,vizesiz,dusuk,dort_mevsim,0.080,0.080,0.464,0.080,0.080,0.133,0.080,0.161,0.477,0.080,0.080,0.080,0.340,0.080,0.080
7,Kafkasya ve Ipek Yolu,Buhara,Ozbekistan,vizesiz,vizesiz,dusuk,dort_mevsim,0.080,0.080,0.507,0.080,0.080,0.249,0.080,0.161,0.477,0.080,0.080,0.080,0.340,0.080,0.080
7,Kafkasya ve Ipek Yolu,Taskent,Ozbekistan,vizesiz,vizesiz,dusuk,dort_mevsim,0.080,0.080,0.464,0.080,0.080,0.133,0.080,0.161,0.477,0.080,0.080,0.080,0.340,0.080,0.080
8,Kuzey Afrika,Marakes,Fas,vizesiz,vizesiz,dusuk,dort_mevsim,0.080,0.080,0.477,0.080,0.080,0.133,0.080,0.161,0.477,0.080,0.080,0.080,0.080,0.440,0.080
8,Kuzey Afrika,Fes,Fas,vizesiz,vizesiz,dusuk,dort_mevsim,0.080,0.080,0.477,0.080,0.080,0.133,0.080,0.161,0.477,0.080,0.080,0.080,0.080,0.440,0.080
8,Kuzey Afrika,Tunus,Tunus,vizesiz,vizesiz,dusuk,yaz,0.212,0.080,0.699,0.080,0.080,0.080,0.080,0.161,0.477,0.080,0.080,0.080,0.080,0.440,0.080
8,Kuzey Afrika,Sidi Bou Said,Tunus,vizesiz,vizesiz,dusuk,dort_mevsim,0.080,0.080,0.520,0.080,0.080,0.133,0.080,0.161,0.477,0.080,0.080,0.080,0.080,0.440,0.080
8,Kuzey Afrika,Kairouan,Tunus,vizesiz,vizesiz,dusuk,kis,0.080,0.080,0.520,0.080,0.080,0.133,0.080,0.161,0.477,0.080,0.080,0.080,0.080,0.440,0.193
9,Japonya ve Guney Kore,Tokyo,Japonya,vizesiz,vizesiz,dusuk,dort_mevsim,0.080,0.080,0.080,0.780,0.080,0.950,0.080,0.206,0.880,0.080,0.080,0.080,0.820,0.080,0.080
9,Japonya ve Guney Kore,Kyoto,Japonya,vizesiz,vizesiz,dusuk,dort_mevsim,0.080,0.080,0.920,0.080,0.600,0.661,0.080,0.206,0.950,0.080,0.080,0.080,0.415,0.080,0.080
9,Japonya ve Guney Kore,Osaka,Japonya,vizesiz,vizesiz,dusuk,dort_mevsim,0.080,0.112,0.080,0.173,0.080,0.559,0.080,0.206,0.495,0.080,0.080,0.080,0.415,0.080,0.080
9,Japonya ve Guney Kore,Seoul,Guney Kore,vizesiz,vizesiz,dusuk,dort_mevsim,0.080,0.080,0.080,0.080,0.080,0.516,0.080,0.206,0.495,0.080,0.080,0.080,0.415,0.080,0.080
9,Japonya ve Guney Kore,Busan,Guney Kore,vizesiz,vizesiz,dusuk,dort_mevsim,0.080,0.080,0.080,0.080,0.080,0.495,0.080,0.206,0.495,0.080,0.080,0.080,0.415,0.080,0.080
10,Singapur ve Malezya,Singapur,Singapur,vizesiz,vizesiz,dusuk,dort_mevsim,0.080,0.080,0.080,0.080,0.080,0.495,0.080,0.206,0.390,0.080,0.080,0.080,0.433,0.080,0.080
10,Singapur ve Malezya,Hong Kong,Hong Kong,vizesiz,vizesiz,dusuk,dort_mevsim,0.080,0.080,0.080,0.080,0.080,0.495,0.080,0.206,0.390,0.080,0.080,0.080,0.433,0.080,0.080
10,Singapur ve Malezya,Kuala Lumpur,Malezya,vizesiz,vizesiz,dusuk,dort_mevsim,0.080,0.080,0.193,0.080,0.080,0.702,0.080,0.206,0.390,0.080,0.080,0.080,0.433,0.080,0.080
10,Singapur ve Malezya,Penang,Malezya,vizesiz,vizesiz,dusuk,dort_mevsim,0.080,0.080,0.080,0.080,0.080,0.516,0.080,0.206,0.390,0.080,0.080,0.080,0.433,0.080,0.080
10,Singapur ve Malezya,Macau,Macau,vizesiz,vizesiz,dusuk,dort_mevsim,0.080,0.080,0.080,0.080,0.080,0.495,0.080,0.206,0.390,0.080,0.080,0.080,0.433,0.080,0.080
11,Latin Amerika Sehirleri,Rio de Janeiro,Brezilya,vizesiz,vizesiz,dusuk,dort_mevsim,0.080,0.080,0.080,0.452,0.080,0.497,0.080,0.206,0.452,0.080,0.080,0.080,0.080,0.080,0.080
11,Latin Amerika Sehirleri,Buenos Aires,Arjantin,vizesiz,vizesiz,dusuk,dort_mevsim,0.080,0.080,0.080,0.452,0.080,0.497,0.080,0.206,0.452,0.080,0.080,0.080,0.080,0.080,0.080
11,Latin Amerika Sehirleri,Lima,Peru,vizesiz,vizesiz,dusuk,dort_mevsim,0.080,0.080,0.080,0.452,0.080,0.497,0.080,0.206,0.452,0.080,0.080,0.080,0.080,0.080,0.080
11,Latin Amerika Sehirleri,Bogota,Kolombiya,vizesiz,vizesiz,dusuk,dort_mevsim,0.080,0.080,0.080,0.452,0.080,0.579,0.080,0.206,0.452,0.080,0.080,0.080,0.080,0.080,0.080
11,Latin Amerika Sehirleri,Santiago,Sili,vizesiz,vizesiz,dusuk,dort_mevsim,0.080,0.080,0.080,0.452,0.080,0.497,0.080,0.206,0.452,0.080,0.080,0.080,0.080,0.080,0.080
